,Name,Paszport,Urodzony,Wzrost,Pozycja,Last team played,Year
0,Mohamed Abdelaal,Egipt,15.08.1999,207,środkowy,Sokół Ostrów Mazowiecka (2LM),2020/2021
1,Mikołaj Adamczak,Polska,18.12.2002,207,silny skrzydłowy,GTK Sordrew Gliwice (2LM),2020/2021
2,Arkadiusz Adamczyk,Polska,29.06.1999,200,niski skrzydłowy / silny skrzydłowy,AZS UJK Kielce (2LM),2020/2021
3,Michał Aleksandrowicz,Polska,10.05.1989,192,rzucający / niski skrzydłowy,Enea Astoria Bydgoszcz (EBL),2020/2021
4,Jakub Andrzejewski,Polska,18.09.2004,190,rzucający,Enea Basket Junior Poznań (2LM),2020/2021
5,Adam Anusewicz,Polska,12.08.2003,193,rzucający / niski skrzydłowy,Podlaskie (OOM Ch),2016/2017
6,Joshua Ashaolu,Polska,11.01.2005,180,rzucający,WKK I Wrocław (U17 M),2020/2021
7,Marcus Azor,Stany Zjednoczone,11.04.2000,182,rozgrywający,,
8,Iwo Baganc,Polska,12.11.2006,201,rzucający,Wielkopolskie (OOM Ch),2019/2020
9,Samson Barnes-Thompkins,Stany Zjednoczone,15.08.1996,193,rozgrywający / rzucający,,
10,Mateusz Bartosz,Polska,29.03.1987,205,silny skrzydłowy / środkowy,King Szczecin (EBL),2020/2021
11,Oliwier Bednarek,Polska,17.03.2003,204,środkowy,Enea Basket Junior Poznań (2LM),2020/2021
12,Maciej Bender,Polska,28.01.1997,210,silny skrzydłowy / środkowy,TBS Śląsk II Wrocław (1LM),2020/2021
13,Jakub Bereszyński,Polska,09.01.2004,201,silny skrzydłowy,Exact Systems Śląsk I Wrocław (U19 M),2020/2021
14,Jakub Bęben,Polska,29.10.2005,196,silny skrzydłowy,Kujawsko-Pomorskie (OOM Ch),2018/2019
15,Kamil Białachowski,Polska,17.02.2002,202,środkowy,SMS PZKosz Władysławowo (2LM),2020/2021
16,Bartosz Bochno,Polska,13.03.1988,193,rzucający / niski skrzydłowy,PGE Spójnia Stargard (EBL),2019/2020
17,Paweł Bogdanowicz,Polska,04.03.1987,197,niski skrzydłowy / silny skrzydłowy,TS Wisła Chemart Kraków (1LM),2020/2021
18,Mateusz Bojarczuk,Polska,06.06.2005,187,silny skrzydłowy / środkowy,,
19,Ernest Borowski,Polska,09.03.2005,188,rzucający,Zachodniopomorskie (OOM Ch),2018/2019
20,Sebastian Bożenko,Polska,30.05.1998,183,rozgrywający,TBS Śląsk II Wrocław (1LM),2020/2021
21,Krystian Brzyski,Polska,14.07.2004,190,niski skrzydłowy / silny skrzydłowy,,
22,Kacper Burczyk,Polska,14.07.1999,200,niski skrzydłowy / silny skrzydłowy,Decka Pelplin (1LM),2020/2021
23,Aleksander Busz,Polska,27.05.2004,204,niski skrzydłowy,AMW Asseco Arka Gdynia (2LM),2020/2021
24,Filip Cebula,Polska,13.07.2002,188,rozgrywający / rzucający,Politechnika Gdańska (2LM),2020/2021
25,Damian Cechniak,Polska,08.10.1993,210,środkowy,Górnik Trans.eu Wałbrzych (1LM),2020/2021
26,Andrii Cherepanov,Ukraina,20.03.2004,188,rzucający / niski skrzydłowy,,
27,Arinze Chidom,Stany Zjednoczone,09.09.1997,205,silny skrzydłowy / środkowy,,
28,Bartosz Chodukiewicz,Polska,23.02.2002,212,środkowy,GTK Sordrew Gliwice (2LM),2020/2021
29,Radosław Chorab,Polska,15.12.2000,190,rozgrywający / rzucający,Polpharma Starogard Gdański (EBL),2020/2021
30,Michał Chrabota,Polska,22.02.1999,196,rzucający / niski skrzydłowy,TS Wisła Chemart Kraków (1LM),2020/2021
31,Bartosz Ciechociński,Polska,19.09.1991,203,niski skrzydłowy / silny skrzydłowy,Miasto Szkła Krosno (1LM),2020/2021
32,Jakub Ciemiński,Polska,05.08.2001,198,niski skrzydłowy,AZS UMK  Toruń (2LM),2020/2021
33,Damian Ciesielski,Polska,30.10.1997,187,rozgrywający,Miasto Szkła Krosno (1LM),2020/2021
